Layer #,Layer Name,Main Type,Sub Type,Component / Mechanism,Goal,Evidence / Telemetry
1,Governance & Policy,Policy Management,Security Policy Catalog,"Org-wide security policy, coding standards, infra hardening guidelines, data handling rules","Make security mandatory and auditable","Signed policy docs, control mapping, approvals"
1,Governance & Policy,Exception Management,Risk Acceptance Workflow,"Exception register, owner+expiry, tracked in repo / ticket","Force accountability for any deviation","Open exceptions with expiry and sign-off"
1,Governance & Policy,Audit & Assurance,Internal/External Audit Tracking,"Security audit issues labeled in tracker, remediation SLAs","Close gaps found by audit / pen test","% audit findings closed on time, PR links"
2,Identity & Access Control,AuthN (Who are you),User/Auth Service,"Password hashing, MFA, OAuth2/OIDC, JWT signing/verification","Only legit users can enter","Auth logs, failed login attempts, token issuance logs"
2,Identity & Access Control,AuthZ (What can you do),RBAC/ABAC/PBAC,"Role-based access control, attribute-based access control, policy-based access (OPA / Cedar)","Stop privilege abuse / lateral movement","Access decision logs, denied actions"
2,Identity & Access Control,Session & Token Hygiene,Token Lifecycle,"Short-lived access tokens, refresh tokens, rotation, revocation list","Reduce stolen-token blast radius","Token expiry histogram, revoked token hits"
2,Identity & Access Control,Secrets Hygiene,Secret Distribution,"Vault / KMS, no secrets in code, per-service credentials","Stop credential leaks","Secrets rotation logs, secret age report"

3,Application Security,Input Protection,Validation & Sanitization,"Strict type validation, regex allowlists, length limits, unicode normalization","Block injection, XSS, deserialization attacks","Rejected request counts by rule"
3,Application Security,Output Protection,Encoding/Escaping,"HTML encode, JSON encode, header encode","Stop stored/reflective XSS","CSP violation reports, browser security reports"
3,Application Security,Business Logic Controls,Rate/Velocity Rules,"OTP retry limits, withdrawal limits, anti-bruteforce counters, anti-spam throttles","Stop abuse of legit flows","Per-user throttle hits, lockouts"
3,Application Security,Dependency Safety,SAST/SCA,"Static code scanning, dependency vulnerability scan, SBOM, license scan","Stop known-vuln libs from shipping","Critical vuln count, unresolved vuln age"
3,Application Security,Runtime Protections,WAF / RASP,"WAF rulesets (OWASP Top 10), runtime self-protection hooks in app","Block exploit patterns pre-database","WAF block events, rule hit rate"

###
4,API & Gateway Security,Protocol Safety,Schema Enforcement,"Strongly typed request/response contract, OpenAPI/GraphQL schema validation","Reject malformed/unknown fields before logic runs","% rejected at gateway vs app"
4,API & Gateway Security,Abuse Mitigation,Rate Limit / Throttle / Burst Control,"Per-IP rate limit, per-token rate limit, circuit breakers, quota windows","Stop DoS / scraping / brute force","HTTP 429 counts, surge graphs"
4,API & Gateway Security,Auth at Edge,JWT / mTLS at Gateway,"mTLS between client and gateway, gateway verifies signature/claims before forwarding","Drop bad traffic early","Gateway auth failure logs"
4,API & Gateway Security,Data Filtering,Header/Body Scrubbers,"Strip dangerous headers, reject unsupported verbs, block oversized payloads","Reduce attack surface","Blocked verb stats, oversized body rejections"
4,API & Gateway Security,Allowlisting,Service Contract Allowlist,"Only allow specific routes/methods per client/app tier","Make public surface area explicit","Denied route attempts by client id"

5,Data Security,Data Classification,Sensitivity Tiering,"Classify data: public / internal / confidential / restricted","Know which data needs strong controls","Data inventory with labels"
5,Data Security,Data-in-Transit,TLS Everywhere,"HTTPS/TLS 1.2+, HSTS, mTLS service-to-service","Stop sniffing / MITM","TLS handshake logs, cert rotation logs"
5,Data Security,Data-at-Rest,Encryption at Rest,"KMS-managed disk/volume/db encryption, envelope encryption for fields like PII","Protect data if disk/db is stolen","Key rotation logs, KMS access logs"
5,Data Security,Data Minimization,Field Reduction / Masking,"Store only required attributes, redact PII in logs, tokenize high-risk values","Shrink breach impact","PII in logs scanner report"
5,Data Security,Backup & Restore,Signed/Encrypted Backups,"Periodic encrypted snapshots, offline copy, tested restore drill","Survive ransomware / data loss","Successful restore drill evidence, RPO/RTO metrics"

6,Network & Infrastructure Security,Perimeter Defense,Edge Firewall / CDN,"CDN DDoS absorb, geo/IP blocklists, L4/L7 filtering","Keep junk traffic out","Edge drop rate, DDoS absorbed volume"
6,Network & Infrastructure Security,Segmentation,Zero Trust / Microsegmentation,"Isolate services/namespaces/VPCs, block east-west except allowlisted","Contain compromise blast radius","Denied east-west attempts"
6,Network & Infrastructure Security,OSI Hardening,Protocol/Port Hygiene,"Close unused ports, disable legacy TLS ciphers, strict DNS rules","Cut legacy attack paths","Open port diff vs baseline"
6,Network & Infrastructure Security,Host Hardening,Baseline Images & CIS Benchmarks,"Read-only root FS, minimal base images, kernel hardening, SSH lockdown","Reduce exploitable surface on hosts/containers","Drift reports from baseline, CIS score"
6,Network & Infrastructure Security,Secrets on Host,Runtime Secret Mounting,"Inject secrets at runtime (tmpfs, env vars via agent) instead of baked into image","Stop image leaks of creds","Secrets-in-image scan results"

7,Resilience & Availability,Redundancy,HA/Failover,"Multi-AZ deploy, load balancer health checks, replicas per service","Survive node/zone loss","Failover event logs, uptime %"
